Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
IMPRESA,SGPS;PTIPR0AM0000;IPR;Euronext Lisbon;EUR;0.253;0.253;0.25;0.25;13/08/2021 20:46;BST;94999;23902.489
IMPRIMERIE CHIRAT;FR0000065773;MLIMP;Euronext Access Paris;EUR;7.1;7.1;6.9;6.9;13/08/2021 16:30;CET;123;848.9
IMPULSE FITNESS;ES0105590006;MLIFS;Euronext Access Paris;EUR;5.65;5.65;5.65;5.65;10/08/2021 11:30;CET;1;5.65
INAPA-INV.P.GESTAO;PTINA0AP0008;INA;Euronext Lisbon;EUR;0.0365;0.039;0.0365;0.037;13/08/2021 20:03;BST;205010;7485.39
INCLUSIO SA/NV;BE0974374069;INCLU;Euronext Brussels;EUR;21.1;21.45;21.1;21.45;13/08/2021 16:23;CET;2140;45618
INDLE FIN.ENTREPR.;FR0000066219;INFE;Euronext Paris;EUR;51;51;51;51;13/08/2021 11:30;CET;10;510
INDUCT;NO0010536048;INDCT;Euronext Growth Oslo;NOK;7.38;7.62;7.14;7.6;13/08/2021 16:25;CET;33508;248188.98
INFOCLIP;FR0011158823;MLIFC;Euronext Access Paris;EUR;2;2;2;2;13/08/2021 11:30;CET;140;280
INFOTEL;FR0000071797;INF;Euronext Paris;EUR;52.9;52.9;51.7;52.3;13/08/2021 17:35;CET;2969;156445.4
INFRABEL;BE6265912038;-;Euronext Expert Market;EUR;6.12;6.12;6.12;6.12;22/06/2021 11:30;CET;5;30.6
ING GROEP N.V.;NL0011821202;INGA;Euronext Amsterdam, Brussels;EUR;11.59;11.8;11.59;11.702;13/08/2021 17:35;CET;14124146;165500267.5
INMARK;ES0105511002;MLINM;Euronext Access Paris;EUR;17.9;17.9;17.9;17.9;08/04/2021 00:00;CET;-;-
INMOSUPA;ES0105473005;MLISP;Euronext Access Paris;EUR;1.62;1.62;1.62;1.62;06/04/2020 00:00;CET;-;-
INNATE PHARMA;FR0010331421;IPH;Euronext Paris;EUR;2.812;2.85;2.8;2.832;13/08/2021 17:35;CET;44965;126866.594
INNELEC MULTIMEDIA;FR0000064297;ALINN;Euronext Growth Paris;EUR;9.02;9.16;8.8;8.88;13/08/2021 17:35;CET;14750;132120.54
INNOVADERMA PLC;GB00BT9PTW34;MLIDP;Euronext Access Paris;EUR;0.7;0.7;0.7;0.7;05/09/2016 15:00;CET;75;52.5
INNOVATIVE RFK SPA;IT0005391161;MLIRF;Euronext Access Paris;EUR;1.33;1.45;1.33;1.45;29/07/2021 16:30;CET;9746;13082.18
INPOST;LU2290522684;INPST;Euronext Amsterdam;EUR;16.112;16.216;15.926;16.07;13/08/2021 17:35;CET;190924;3066325.856
INSR INSURANCE GP;NO0010593544;INSR;Oslo Børs;NOK;0.362;0.386;0.362;0.3705;13/08/2021 16:18;CET;83331;30902.674
INSTABANK;NO0010762792;INSTA;Euronext Growth Oslo;NOK;2.24;2.24;2.05;2.11;13/08/2021 16:19;CET;801867;1683598.9
INSTALLUX;FR0000060451;ALLUX;Euronext Growth Paris;EUR;478;478;478;478;13/08/2021 16:30;CET;1;478
INTEGRAGEN;FR0010908723;ALINT;Euronext Growth Paris;EUR;1.45;1.464;1.42;1.46;13/08/2021 14:48;CET;3183;4552.982
INTEGRATED WIND SO;NO0010955883;IWS;Euronext Growth Oslo;NOK;43;43;43;43;13/08/2021 09:23;CET;2234;96062
INTEGRITAS VIAGER;FR0014003FN0;MLVIE;Euronext Access Paris;EUR;116;116;116;116;10/06/2021 00:00;CET;-;-
INTEL CORP;US4581401001;INCO;Traded not listed Brussels;USD;54;54;54;54;11/08/2021 14:26;CET;47;2538
INTEROIL EXPL PROD;NO0010284318;IOX;Oslo Børs;NOK;1.17;1.198;1.06;1.138;13/08/2021 16:25;CET;3038373;3297247.612
INTERPARFUMS;FR0004024222;ITP;Euronext Paris;EUR;61.8;63.2;61.8;63;13/08/2021 17:35;CET;7622;478168
INTERTRUST;NL0010937058;INTER;Euronext Amsterdam;EUR;13.9;13.9;13.68;13.8;13/08/2021 17:35;CET;60442;831869.52
INTERVEST OFF-WARE;BE0003746600;INTO;Euronext Brussels;EUR;26;26.4;25.8;26.2;13/08/2021 17:35;CET;16167;422148.8
INTEXA;FR0000064958;ITXT;Euronext Paris;EUR;2.9;2.9;2.9;2.9;10/08/2021 16:30;CET;1;2.9
INTRASENSE;FR0011179886;ALINS;Euronext Growth Paris;EUR;0.646;0.6575;0.641;0.6575;13/08/2021 17:35;CET;320029;207615.0195
INVENTIVA;FR0013233012;IVA;Euronext Paris;EUR;9.4;9.4;9.1;9.3;13/08/2021 17:35;CET;28364;261533.82
INVIBES ADVERTSING;BE0974299316;ALINV;Euronext Growth Paris;EUR;18.3;18.5;18.3;18.5;13/08/2021 15:56;CET;1113;20506.2
IOC HOLDING;BE6200101556;MLIOC;Euronext Access Paris;EUR;0.21;0.21;0.21;0.21;12/08/2021 16:30;CET;2260;474.6
IPOSA PROPERTIES;ES0105417002;MLIPO;Euronext Access Paris;EUR;-;-;-;-;-;CET;-;-
IPSEN;FR0010259150;IPN;Euronext Paris;EUR;86.5;86.94;80.26;80.5;13/08/2021 17:35;CET;302533;24786286.96
IPSOS;FR0000073298;IPS;Euronext Paris;EUR;39.55;40.4;39.55;40.4;13/08/2021 17:35;CET;31964;1283785.4
IRISH CONT. GP.;IE00BLP58571;IR5B;Euronext Dublin;EUR;4.465;4.48;4.465;4.47;13/08/2021 21:00;IST;18738;83673.325
IRISH RES. PROP.;IE00BJ34P519;IRES;Euronext Dublin;EUR;1.6;1.6;1.56;1.586;13/08/2021 21:02;IST;362347;574847.93
IT LINK;FR0000072597;ALITL;Euronext Growth Paris;EUR;24.3;24.4;23.6;24;13/08/2021 17:25;CET;1854;44545.1
ITALY INNOVAZIONI;IT0005336521;MLITN;Euronext Access Paris;EUR;10;10;10;10;30/07/2021 16:30;CET;15;150
ITERA;NO0010001118;ITERA;Oslo Børs;NOK;15.5;15.75;15.45;15.6;13/08/2021 16:25;CET;14626;227843.6
ITESOFT;FR0004026151;ITE;Euronext Paris;EUR;3.4;3.4;3.4;3.4;13/08/2021 09:00;CET;1;3.4
IVALIS;FR0010082305;ALIVA;Euronext Growth Paris;EUR;10.3;10.3;10.3;10.3;21/07/2020 12:44;CET;59;607.7
J.MARTINS,SGPS;PTJMT0AE0001;JMT;Euronext Lisbon;EUR;17.5;17.56;17.42;17.545;13/08/2021 21:35;BST;196077;3434690.675
JACQUES BOGART;FR0012872141;JBOG;Euronext Paris;EUR;11.3;11.6;11.15;11.6;13/08/2021 14:18;CET;1457;16539.55
JACQUET METALS;FR0000033904;JCQ;Euronext Paris;EUR;21.4;21.4;20.75;20.8;13/08/2021 17:35;CET;7391;154475.05
JC DECAUX SA.;FR0000077919;DEC;Euronext Paris;EUR;22.32;22.62;22.32;22.62;13/08/2021 17:36;CET;37675;849721.74
JDE PEET'S;NL0014332678;JDEP;Euronext Amsterdam;EUR;29.16;29.48;29.16;29.32;13/08/2021 17:35;CET;196629;5766831.9
JENSEN-GROUP;BE0003858751;JEN;Euronext Brussels;EUR;31.5;31.5;30.4;30.4;13/08/2021 17:35;CET;2809;86741.9
JINHUI SHIPP TRANS;BMG5137R1088;JIN;Oslo Børs;NOK;11.25;12.9;11.1;12.75;13/08/2021 16:29;CET;1688819;20736505.1
JSA TECHNOLOGY;FR0010680033;MLJSA;Euronext Access Paris;EUR;0.9;0.9;0.9;0.9;13/08/2021 16:30;CET;50;45
JUST EAT TAKEAWAY;NL0012015705;TKWY;Euronext Amsterdam;EUR;71.69;73.14;71.48;72.74;13/08/2021 17:38;CET;878334;63574720.63
JÆREN SPAREBANK;NO0010359433;JAREN;Oslo Børs;NOK;177;178;174;178;13/08/2021 15:52;CET;889;156821
KABELWERK EUPEN;BE0049482129;-;Euronext Expert Market;EUR;425;425;425;425;04/08/2015 11:30;CET;22;9350
KAHOOT!;NO0010823131;KAHOT;Oslo Børs;NOK;39.8;40.16;38.84;38.94;13/08/2021 16:25;CET;695480;27281105.6
KALERA;NO0010874597;KAL;Euronext Growth Oslo;NOK;34.4;35;33;33.2;13/08/2021 16:25;CET;245804;8289829.45
KALRAY;FR0010722819;ALKAL;Euronext Growth Paris;EUR;37.7;37.7;36.9;37.1;13/08/2021 17:35;CET;4533;169079
KAUFMAN ET BROAD;FR0004007813;KOF;Euronext Paris;EUR;38;38.45;38;38.25;13/08/2021 17:35;CET;7779;297628.95
KBC;BE0003565737;KBC;Euronext Brussels;EUR;70.6;71.68;70.54;71.44;13/08/2021 17:35;CET;226505;16162294.96
KBC ANCORA;BE0003867844;KBCA;Euronext Brussels;EUR;40.1;40.44;40;40.3;13/08/2021 17:35;CET;60712;2440218.88
KBL EPB - ORD;LU0092281103;-;Euronext Expert Market;EUR;35.62;35.62;35.62;35.62;10/03/2015 12:00;CET;100;3562
KBL EPB - PRIV;LU0092281442;-;Euronext Expert Market;EUR;32.1;32.1;32.1;32.1;26/05/2015 12:00;CET;100;3210
KENDRION;NL0000852531;KENDR;Euronext Amsterdam;EUR;22;22.1;21.8;22.1;13/08/2021 17:35;CET;4370;95979.55
KENMARE RESOURCES;IE00BDC5DG00;KMR;Euronext Dublin;EUR;5.1;5.1;5.1;5.1;13/08/2021 15:33;IST;937;4778.7
KERING;FR0000121485;KER;Euronext Paris;EUR;795;798;788.2;788.9;13/08/2021 17:36;CET;92751;73420998.8
KERLINK;FR0013156007;ALKLK;Euronext Growth Paris;EUR;5.25;5.53;5.23;5.48;13/08/2021 17:35;CET;12369;67165.65
KERRY GROUP PLC;IE0004906560;KRZ;Euronext Dublin;EUR;123.3;123.7;122.6;123.25;13/08/2021 21:10;IST;155271;19131074
KEYRUS;FR0004029411;ALKEY;Euronext Growth Paris;EUR;3.05;3.13;3.03;3.03;13/08/2021 15:06;CET;17776;54939.96
KEYWARE TECH.;BE0003880979;KEYW;Euronext Brussels;EUR;0.97;0.97;0.97;0.97;12/08/2021 16:06;CET;1350;1309.5
KID;NO0010743545;KID;Oslo Børs;NOK;116.6;117.4;115.2;115.6;13/08/2021 16:25;CET;24494;2843697
KINEPOLIS GROUP;BE0974274061;KIN;Euronext Brussels;EUR;45.36;45.68;44.8;45.06;13/08/2021 17:35;CET;27697;1251613.94
KINGSPAN GROUP PLC;IE0004927939;KRX;Euronext Dublin;EUR;95.48;95.82;94.64;94.74;13/08/2021 21:00;IST;84557;8026178.844
KITRON;NO0003079709;KIT;Oslo Børs;NOK;19.4;19.4;19.1;19.3;13/08/2021 16:25;CET;239244;4590258.56
KKO INTERNATIONAL;FR0013374667;ALKKO;Euronext Growth Paris;EUR;0.139;0.1426;0.1358;0.137;13/08/2021 15:17;CET;268716;37396.1512
KLARSEN;FR0011038348;ALKLA;Euronext Growth Paris;EUR;2.71;2.81;2.61;2.685;13/08/2021 17:35;CET;95388;259965.935
KLAVENESS COMBINAT;NO0010833262;KCC;Euronext Expand Oslo;NOK;42;43.4;41.4;43;13/08/2021 15:30;CET;14870;634540.4
