,Company,Symbol,Country,Class of Share,Traded Currency,Primary listing,Valor Number,Ticker,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
200,Sonova Holding AG,SOON,CH,Registered Share,CHF,True,1254978,SOON.SW,Healthcare,Medical Instruments & Supplies,0.2379,0.2233,0.028,0.19686002,0.061490003,none,,66.142,28.114,1.813,EBS,0.766818,37.272,8.867,36.023,1.949,,2021-03-31,https://logo.clearbit.com/sonova.com
201,Spice Private Equity AG,SPCE,CH,Registered Share,USD,True,915331,SPCE.SW,Financial Services,Asset Management,0.0,0.0,,1.0643699,-0.23173,none,,,4.502,52.624,EBS,0.656022,,-1.003,23.528,,,2020-12-31,https://logo.clearbit.com/spice-private-equity.com
202,St.Galler Kantonalbank AG,SGKN,CH,Registered Share,CHF,True,1148406,SGKN.SW,Financial Services,Banks—Regional,0.0,0.34352002,-0.01,0.39383,0.00449,none,,,1298.645,,EBS,0.505804,,12.781,433.118,0.027,14.553572,2020-12-31,https://logo.clearbit.com/sgkb.ch
203,Stadler Rail AG,SRAIL,CH,Registered Share,CHF,True,217818,SRAIL.SW,Industrials,Railroads,0.06682,0.04461,0.031,0.047459997,0.02202,none,,178.656,9.291,0.761,EBS,0.38594,22.58,1.509,8.552,0.218,,2020-12-31,https://logo.clearbit.com/stadlerrail.com
204,Starrag Group Holding AG,STGN,CH,Registered Share,CHF,True,236106,STGN.SW,Industrials,Specialty Industrial Machinery,0.028770002,-0.00396,-0.103,0.00601,0.00322,none,,26.671,15.78,0.979,EBS,0.904789,18.39,0.529,52.221,-0.945,11.316398,2021-06-30,https://logo.clearbit.com/starrag.com
205,Straumann Holding AG,STMN,CH,Registered Share,CHF,True,1228007,STMN.SW,Healthcare,Medical Instruments & Supplies,0.32474,0.19797,0.629,0.28202,0.12732,none,,52.574,45.628,2.431,EBS,0.905359,48.862,15.867,75.807,,84.67269,2021-06-30,https://logo.clearbit.com/straumann.com
206,Sulzer AG,SUN,CH,Registered Share,CHF,True,3838891,SUN.SW,Industrials,Specialty Industrial Machinery,0.10142,0.025190001,-0.12,0.06312,0.02497,none,,131.231,42.213,1.252,EBS,1.909652,14.861,1.507,41.503,-0.233,20.432098,2020-12-31,https://logo.clearbit.com/sulzer.com
207,Swiss Life Holding AG,SLHN,CH,Registered Share,CHF,True,1485278,SLHN.SW,Financial Services,Insurance—Diversified,0.0756,0.048189998,0.008,0.07362,0.00429,none,,76.754,1789.544,3.15,EBS,1.232884,-17.261,-1.305,540.018,-0.122,,2020-12-31,https://logo.clearbit.com/swisslife.com
208,Swiss Prime Site AG,SPSN,CH,Registered Share,CHF,True,803838,SPSN.SW,Real Estate,Real Estate Services,0.55974,0.60234,-0.424,0.55140996,0.02791,none,,84.861,1.879,0.144,EBS,0.434904,21.894,12.255,80.107,0.355,23.455696,2020-12-31,https://logo.clearbit.com/sps.swiss
209,Swiss Re AG,SREN,CH,Registered Share,CHF,True,12688156,SREN.SW,Financial Services,Insurance—Reinsurance,-0.00987,-0.02026,-0.024,-0.011419999,-0.00147,none,,52.209,69.898,0.346,EBS,0.914728,-43.423,0.429,93.9,,,2020-12-31,https://logo.clearbit.com/swissre.com
210,Swiss Steel Holding AG,STLN,CH,Registered Share,CHF,True,579566,STLN.SW,Basic Materials,Steel,-0.024489999,-0.11265001,0.067,-0.050869998,-0.036960002,none,,163.58,0.055,0.797,EBS,1.695798,-32.109,0.786,0.134,,4.78125,2021-03-31,https://logo.clearbit.com/swisssteel-group.com
